init_date,forecast_date,geography_polygon,temperature,precipitation,wind_speed
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.625, 39.875], [-75.625, 40.125], [-75.875, 40.125], [-75.875, 39.875], [-75.625, 39.875] ] ] } ",275.84365844726562,5.1161216106265783e-05,5.1179747652850649
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 40.625], [-76.875, 40.875], [-77.125, 40.875], [-77.125, 40.625], [-76.875, 40.625] ] ] } ",273.66897583007812,5.1161216106265783e-05,4.6134577334241174
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 40.875], [-76.875, 41.125], [-77.125, 41.125], [-77.125, 40.875], [-76.875, 40.875] ] ] } ",272.94613647460938,5.4963922593742609e-05,4.5300329023758952
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 40.125], [-76.625, 40.375], [-76.875, 40.375], [-76.875, 40.125], [-76.625, 40.125] ] ] } ",275.119873046875,5.4963922593742609e-05,4.7311466374084032
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.375, 39.875], [-76.375, 40.125], [-76.625, 40.125], [-76.625, 39.875], [-76.375, 39.875] ] ] } ",275.49951171875,5.4963922593742609e-05,4.89628451249158
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 40.625], [-77.125, 40.875], [-77.375, 40.875], [-77.375, 40.625], [-77.125, 40.625] ] ] } ",272.18365478515625,5.8766629081219435e-05,4.8143237618681978
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.125, 40.875], [-75.125, 41.125], [-75.375, 41.125], [-75.375, 40.875], [-75.125, 40.875] ] ] } ",273.69210815429688,5.8766629081219435e-05,4.5127627192423745
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 40.375], [-77.125, 40.625], [-77.375, 40.625], [-77.375, 40.375], [-77.125, 40.375] ] ] } ",273.4884033203125,5.8766629081219435e-05,4.9009469798548242
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.875, 40.625], [-75.875, 40.875], [-76.125, 40.875], [-76.125, 40.625], [-75.875, 40.625] ] ] } ",273.09149169921875,6.256933556869626e-05,4.6570742162783647
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 41.125], [-77.125, 41.375], [-77.375, 41.375], [-77.375, 41.125], [-77.125, 41.125] ] ] } ",272.42306518554688,6.256933556869626e-05,4.739382649198479
