init_time,geography,geography_polygon,forecast_time,forecast_hours_offset,2m_temperature,total_precipitation_6hr,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_speed
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-22 12:00:00.000000 UTC,108,273.47943115234375,0.00089155975729227066,-2.8665854930877686,2.9839596748352051,4.137792615661624
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-22 18:00:00.000000 UTC,114,275.27316284179688,0.0041847052052617073,-2.7491319179534912,2.2869534492492676,3.5760148743180253
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-23 00:00:00.000000 UTC,120,274.37631225585938,0.00228335103020072,-0.74693083763122559,1.20756196975708,1.4198984424979426
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-23 06:00:00.000000 UTC,126,274.00433349609375,0.0014353470178321004,1.7119126319885254,0.5153961181640625,1.7878137537731564
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-23 12:00:00.000000 UTC,132,262.42666625976562,0.006496751680970192,6.840357780456543,3.1872529983520508,7.5464611733021263
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-23 18:00:00.000000 UTC,138,258.57424926757812,0.0031351575162261724,7.0489206314086914,3.4800922870635986,7.8611910289967293
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-24 00:00:00.000000 UTC,144,255.59829711914062,0.0015836525708436966,7.477022647857666,3.0009005069732666,8.0567531629887288
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-24 06:00:00.000000 UTC,150,254.55876159667969,0.00083071639528498054,6.699852466583252,2.5580110549926758,7.1715719079882643
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-24 12:00:00.000000 UTC,156,253.92942810058594,0.00039625697536394,5.5845913887023926,2.5595142841339111,6.1431892653128024
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-24 18:00:00.000000 UTC,162,257.679931640625,0.00013862346531823277,4.8118119239807129,1.9012306928634644,5.1738005507797711
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-25 00:00:00.000000 UTC,168,256.77798461914062,5.4963922593742609e-05,3.3628506660461426,1.8401216268539429,3.8333813016373139
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-25 06:00:00.000000 UTC,174,254.90272521972656,3.5950331948697567e-05,2.3178420066833496,2.0651965141296387,3.10442075272008
2022-12-18 00:00:00.000000 UTC,POINT(-79.75 41),"POLYGON((-79.625 40.875, -79.625 41.125, -79.875 41.125, -79.875 40.875, -79.625 40.875))",2022-12-25 12:00:00.000000 UTC,180,254.65812683105469,3.9753038436174393e-05,1.5099363327026367,1.8703736066818237,2.4037897489979154
